text,size
time is very long,100
year,100
people,100
way,80
day,80
man,80
thing,65
woman,60
life,60
child,60
world,55
school,55
state,55
family,55
student,55
group,55
country,50
problem,50
hand,50
part,50
place,45
case,45
week,45
company,45
system,45
program,45
question,45
work,45
government,45
number,40
night,40
Mr,40
point,40
home,40
water,40
room,30
mother,30
area,30
money,30
story,30
fact,25
month,25
lot,25
right,25
study,25
book,10
eye,10
job,10
text,10
business,10
issue,10
side,10
kind,10
head,10
house,10
service,10
friend,10
father,10
power,10
hour,10
game,10
line,10
end,10
member,10
law,10
car,10
city,10
community,10
name,10
president,10
team,10
minute,10
idea,10
kid,10
body,10
information,10
back,10
parent,10
face,10
others,10
level,10
office,10
door,10
health,10
person,10
art,10
war,10
history,10
party,10
result,10
change,10
morning,10
reason,10
research,10
girl,10
guy,10
food,10
moment,10
air,10
teacher,10
